command	availability	go_package	effective_owner	implementation_source	parser_model	base_synopsis	conditional_synopsis	applicability	required_options	conditional_options	compatibility_scope	option_arguments	operands	operand_rules	special_tokens	stdin	environment	stdout	stderr	effects	exit_status	clause_ids	standard_source	parser_source	go_evidence	shell_evidence	shell_routing_evidence	provider_evidence	evidence_state
alias	shell_only	-	shell	shell:alias	shell_builtin	alias [alias-name[=string]...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	alias-name;alias-name=string	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:alias:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/alias.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteAlias	-	unverified
ar	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#ar	external	ar -m -a [-v] posname archive file... ; ar -m -b [-v] posname archive file... ; ar -m -i [-v] posname archive file... ; ar -r [-cuv] archive file... ; ar -r -b [-cuv] posname archive file... ; ar -r -i [-cuv] posname archive file...	development::ar -d [-v] archive file... ; xsi::ar -m [-v] archive file... ; xsi::ar -p [-v] [-s] archive [file...] ; xsi::ar -q [-cv] archive file... ; xsi::ar -r -a [-cuv] posname archive file... ; xsi::ar -t [-v] [-s] archive [file...] ; xsi::ar -x [-v] [-sCT] archive [file...]	base;xsi;development	-a;-b;-c;-i;-m;-r;-u;-v	development:-d;xsi:-C,-p,-q,-s,-t,-T,-x	POSIX Issue 7 only; GNU compatibility is out of scope	-	archive;file;posname	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TMPDIR;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ar:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ar.html	-	-	-	-	-	unverified
at	go	cmds/at	go	cmds/at	flagset	at [-m] [-f file] [-q queuename] -t time_arg ; at [-m] [-f file] [-q queuename] timespec... ; at -r at_job_id... ; at -l -q queuename ; at -l [at_job_id...]	-	base	-f;-l;-m;-q;-r;-t	-	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<file>;-q=<queuename>;-t=<time_arg>	at_job_id;timespec;time;midnight;noon;now;date;today;tomorrow;increment	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;LC_TIME;SHELL;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:at:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/at.html	cmds/at	-	-	-	-	unverified
awk	go	cmds/awk	go	cmds/awk	custom	awk [-F sepstring] [-v assignment]... program [argument...] ; awk [-F sepstring] -f progfile [-f progfile]... [-v assignment]... [argument...]	-	base	-F;-f;-v	-	POSIX Issue 7 only; GNU compatibility is out of scope	-F=<sepstring>;-f=<progfile>;-v=<assignment>	program;argument;file;assignment	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;LC_NUMERIC;NLSPATH;PATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:awk:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/awk.html	cmds/awk	-	-	-	-	unverified
basename	go	cmds/basename	go	cmds/basename	flagset	basename string [suffix]	-	base	NONE	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	string;suffix	Treat string as a pathname: apply the permitted null-string and exactly // choices; reduce an all-slash string to /; remove trailing slashes and the prefix through the last remaining slash; then remove suffix only when it is a matching non-whole suffix.	-- ends option parsing so an option-like string can be supplied as the first operand.	Not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	Write the resulting string followed by a newline.	Used only for diagnostic messages.	No files are modified.	0 for successful completion; greater than 0 if an error occurs.	XCU:basename:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/basename.html	cmds/basename	cmds/basename/basename_test.go#TestBasename;cmds/basename/basename_test.go#TestBasenameErrors;cmds/basename/basename_test.go#TestBasenameWriteErrors	-	-	-	partial
batch	go	cmds/batch	go	cmds/batch	flagset	batch	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	-	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;SHELL;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:batch:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/batch.html	cmds/batch	-	-	-	-	unverified
bc	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#bc	external	bc [-l] [file...]	-	base	-l	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:bc:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/bc.html	-	-	-	-	-	unverified
bg	shell_only	-	shell	shell:bg	shell_builtin	-	optional::bg [job_id...]	optional	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	job_id	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:bg:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/bg.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteBg	-	unverified
cat	go	cmds/cat	go	cmds/cat	flagset	cat [-u] [file...]	-	base	-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	file	Read file operands in order; no operands selects standard input; every - operand reads the same continuing standard-input stream; -u writes each byte without delay; any input file type is accepted.	-- ends option parsing; a file operand of - selects standard input and may occur more than once.	Used when no file operands are given and at each - operand, without closing or reopening the stream.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	Write exactly the sequence of bytes read from the inputs and nothing else; the implementation may reject a regular output file that is also an input file.	Used only for diagnostic messages.	Reads inputs without modifying them; output is standard output only.	0 only when all input files are output successfully; greater than 0 if an error occurs.	XCU:cat:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cat.html	cmds/cat	cmds/cat/cat_test.go#TestCat;cmds/cat/cat_test.go#TestCatFiles;cmds/cat/cat_test.go#TestCatUnbufferedFlushesBeforeEOF;cmds/cat/cat_test.go#TestCatErrors;cmds/cat/cat_test.go#TestCatSameFile;cmds/cat/cat_test.go#TestCatWriteError;cmds/cat/cat_fifo_test.go#TestCatFIFOSymlink	-	-	-	partial
cd	shell_only	-	shell	shell:cd	shell_builtin	cd [-L|-P] [directory] ; cd -	-	base	-L;-P	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	directory;-	UNVERIFIED	UNVERIFIED	UNVERIFIED	CDPATH;HOME;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;OLDPWD;PWD	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:cd:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/cd.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteCd	-	unverified
